親,子,類似点
男33,女28,1
男34,男17,1
男34,男45,1
男34,男58,1
男34,女5,1
男34,女2,1
男34,女11,1
男36,男40,1
男36,男32,1
男36,男0,1
男36,女9,1
男36,女12,1
男36,女36,1
男38,男26,1
男38,男22,1
男38,男8,1
男38,女41,1
男38,女46,1
男38,女35,1
男40,男41,1
男40,男57,1
男40,男45,1
男40,女12,1
男40,女16,1
男40,女42,1
男41,男53,1
男41,男18,1
男41,男34,1
男41,女44,1
男41,女24,1
男41,女39,1
男42,男24,1
男42,男34,1
男42,男0,1
男42,女17,1
男42,女38,1
男42,女30,1
男43,女27,1
男43,女31,1
男43,女13,1
男43,女43,1
男43,女47,1
男43,女1,1
男43,女44,1
男44,男23,1
男44,男20,1
男44,男6,1
男44,女0,1
男44,女43,1
男44,女35,1
男45,男1,1
男45,男38,1
男45,男33,1
男45,女2,1
男45,女20,1
男45,女9,1
男47,女0,1
男47,女5,1
男47,女11,1
男47,女12,1
男47,女42,1
男47,女15,1
男47,女38,1
男49,男45,1
男49,男18,1
男49,男7,1
男49,女34,1
男49,女44,1
男49,女1,1
男51,女14,1
男51,女6,1
男51,女22,1
男51,女24,1
男51,女39,1
男51,女41,1
男51,女28,1
男53,男57,1
男53,男58,1
男53,男33,1
男53,女8,1
男53,女23,1
男53,女48,1
男55,男34,1
男55,男32,1
男55,男44,1
男55,女0,1
男55,女15,1
男55,女21,1
男57,男45,1
男57,男17,1
男57,男20,1
男57,女9,1
男57,女36,1
男57,女20,1
男58,男26,1
男58,男13,1
男58,男4,1
男58,女27,1
男58,女31,1
男58,女30,1
男60,男5,1
男60,男16,1
男60,男11,1
男60,女16,1
男60,女12,1
男60,女43,1
男61,男19,1
男61,男6,1
男61,男22,1
男61,女38,1
男61,女45,1
男61,女6,1
女0,男58,1
女0,男49,1
女0,男55,1
女0,女32,1
女0,女22,1
女0,女25,1
女1,男53,1
女1,男1,1
女1,男45,1
女1,女30,1
女1,女33,1
女1,女35,1
女2,男36,1
女2,男49,1
女2,男11,1
女2,女34,1
女2,女9,1
女2,女47,1
女3,男41,1
女3,男55,1
女3,男1,1
女3,女29,1
女3,女21,1
女3,女44,1
女4,男24,1
女4,男38,1
女4,男7,1
女4,女3,1
女4,女18,1
女4,女17,1
女5,男44,1
女5,男55,1
女5,男12,1
女5,女46,1
女5,女48,1
女5,女27,1
女6,男6,1
女6,男17,1
女6,男33,1
女6,女15,1
女6,女8,1
女6,女9,1
女8,男26,1
女8,男27,1
女8,男42,1
女8,女22,1
女8,女11,1
女8,女35,1
女9,男40,1
女9,男11,1
女9,男3,1
女9,女19,1
女9,女28,1
女9,女36,1
女11,男17,1
女11,男24,1
女11,男34,1
女11,女42,1
女11,女14,1
女11,女22,1
女12,男11,1
女12,男20,1
女12,男45,1
女12,女2,1
女12,女38,1
女12,女43,1
女13,男53,1
女13,男32,1
女13,男36,1
女13,女31,1
女13,女45,1
女13,女6,1
女14,男34,1
女14,男0,1
女14,男42,1
女14,女5,1
女14,女4,1
女14,女23,1
女15,男44,1
女15,男16,1
女15,男13,1
女15,女3,1
女15,女0,1
女15,女16,1
女16,女12,1
女16,女17,1
女16,女18,1
女16,女19,1
女16,男5,1
女16,男14,1
女17,男58,1
女17,男34,1
女17,男12,1
女17,女11,1
女17,女35,1
女17,女15,1
女18,男33,1
女18,男41,1
女18,男18,1
女18,女24,1
女18,女23,1
女18,女3,1
女19,女1,1
女19,女13,1
女19,女29,1
女19,男6,1
女19,男19,1
女19,男55,1
女20,男40,1
女20,男13,1
女20,男8,1
女20,女1,1
女20,女38,1
女20,女16,1
女21,男30,1
女21,男34,1
女21,男36,1
女21,女0,1
女21,女6,1
女21,女26,1
女22,男27,1
女22,男26,1
女22,男41,1
女22,女37,1
女22,女4,1
女22,女41,1
女23,男0,1
女23,男7,1
女23,男33,1
女23,女15,1
女23,女46,1
女23,女16,1
女24,女33,1
女24,女12,1
女24,女3,1
女24,男53,1
女24,男40,1
女24,男38,1
女25,男13,1
女25,男44,1
女25,男21,1
女25,女34,1
女25,女46,1
女25,女48,1
女26,男23,1
女26,男7,1
女26,男1,1
女26,女37,1
女26,女27,1
女26,女23,1
女27,男22,1
女27,男45,1
女27,男12,1
女27,女13,1
女27,女31,1
女27,女29,1
女28,女4,1
女28,女29,1
女28,女2,1
女28,男45,1
女28,男57,1
女28,男3,1
女29,男30,1
女29,男53,1
女29,男6,1
女29,女1,1
女29,女2,1
女29,女46,1
女30,女0,1
女30,女44,1
女30,女14,1
女30,男26,1
女30,男13,1
女30,男3,1
女31,男57,1
女31,男23,1
女31,男6,1
女31,女18,1
女31,女9,1
女31,女5,1
女32,男34,1
女32,男58,1
女32,男19,1
女32,女30,1
女32,女22,1
女32,女11,1
女33,女9,1
女33,女6,1
女33,女42,1
女33,男41,1
女33,男57,1
女33,男1,1
女34,男14,1
女34,男12,1
女34,男18,1
女34,女19,1
女34,女1,1
女34,女47,1
女35,女4,1
女35,女48,1
女35,女26,1
女35,男0,1
女35,男27,1
女35,男24,1
女36,女2,1
女36,女12,1
女36,女16,1
女36,男40,1
女36,男32,1
女36,男8,1
女37,女18,1
女37,女33,1
女37,女28,1
女37,男18,1
女37,男33,1
女37,男5,1
女38,女14,1
女38,女45,1
女38,女43,1
女38,男34,1
女38,男6,1
女38,男17,1
女39,女18,1
女39,女24,1
女39,女37,1
女39,男53,1
女39,男4,1
女39,男49,1
女41,女43,1
女41,女44,1
女41,女18,1
女41,男19,1
女41,男58,1
女41,男61,1
女42,男7,1
女42,男44,1
女42,男20,1
女42,女45,1
女42,女16,1
女42,女2,1
女43,男0,1
女43,男5,1
女43,男55,1
女43,女11,1
女43,女14,1
女43,女33,1
女44,女19,1
女44,女46,1
女44,女1,1
女44,男1,1
女44,男18,1
女44,男30,1
女45,男44,1
女45,男20,1
女45,男41,1
女45,女15,1
女45,女21,1
女45,女6,1
女46,女47,1
女46,女1,1
女46,女35,1
女46,男49,1
女46,男6,1
女46,男3,1
女47,女38,1
女47,女39,1
女47,女25,1
女47,男53,1
女47,男1,1
女47,男33,1
女48,女46,1
女48,女9,1
女48,女33,1
女48,男45,1
女48,男22,1
女48,男38,1
